（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
松江地区,安来市,52336099,105,133,
松江地区,安来市,52336150,115,146,
松江地区,安来市,52336151,120,152,
松江地区,安来市,52336160,123,156,
松江地区,安来市,52336161,122,155,
松江地区,安来市,52336162,111,141,
松江地区,安来市,52336170,124,158,
松江地区,安来市,52336171,120,152,
松江地区,安来市,52336172,107,136,
松江地区,安来市,52336173,101,128,
松江地区,安来市,52336180,117,149,
松江地区,安来市,52336181,108,137,
松江地区,安来市,52336182,107,136,
松江地区,安来市,52336183,95,121,
松江地区,安来市,52336184,99,126,
松江地区,安来市,52336190,105,134,
松江地区,安来市,52336191,101,129,
松江地区,安来市,52336192,105,134,
松江地区,安来市,52336193,100,127,
松江地区,安来市,52336194,99,126,
松江地区,安来市,52336195,99,126,
松江地区,安来市,52336196,100,127,
松江地区,安来市,52337006,98,125,
松江地区,安来市,52337007,99,126,
松江地区,安来市,52337008,99,126,
松江地区,安来市,52337009,99,126,
松江地区,安来市,52337016,99,126,
松江地区,安来市,52337017,100,127,
松江地区,安来市,52337018,94,120,
松江地区,安来市,52337019,94,120,
松江地区,安来市,52337026,97,123,
松江地区,安来市,52337027,101,128,
松江地区,安来市,52337028,100,127,
松江地区,安来市,52337029,99,126,
松江地区,安来市,52337035,107,136,
松江地区,安来市,52337036,112,142,
松江地区,安来市,52337037,106,135,
松江地区,安来市,52337038,101,128,
松江地区,安来市,52337039,94,120,
松江地区,安来市,52337045,107,136,
松江地区,安来市,52337046,112,142,
松江地区,安来市,52337047,107,136,
松江地区,安来市,52337048,96,122,
松江地区,安来市,52337049,99,126,
松江地区,安来市,52337055,101,128,
松江地区,安来市,52337056,111,141,
松江地区,安来市,52337057,106,135,
松江地区,安来市,52337058,105,134,
松江地区,安来市,52337059,94,120,
松江地区,安来市,52337065,99,126,
松江地区,安来市,52337066,106,135,
松江地区,安来市,52337067,112,142,
松江地区,安来市,52337068,112,142,
松江地区,安来市,52337069,101,128,
松江地区,安来市,52337075,98,125,
松江地区,安来市,52337076,101,129,
松江地区,安来市,52337077,112,142,
松江地区,安来市,52337078,118,150,
松江地区,安来市,52337079,107,136,
松江地区,安来市,52337085,104,132,
松江地区,安来市,52337086,101,128,
松江地区,安来市,52337087,108,137,
松江地区,安来市,52337088,118,150,
松江地区,安来市,52337089,112,142,
松江地区,安来市,52337095,99,126,
松江地区,安来市,52337096,109,139,
松江地区,安来市,52337097,116,147,
松江地区,安来市,52337098,112,142,
松江地区,安来市,52337099,107,136,
松江地区,安来市,52337100,99,126,
松江地区,安来市,52337101,94,120,
松江地区,安来市,52337102,100,127,
松江地区,安来市,52337103,105,134,
松江地区,安来市,52337104,109,139,
松江地区,安来市,52337105,96,122,
松江地区,安来市,52337106,96,122,
松江地区,安来市,52337107,96,122,
松江地区,安来市,52337108,105,133,
松江地区,安来市,52337109,95,121,
松江地区,安来市,52337110,99,126,
