（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和7年5月29日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
鳥取地区,鳥取市北部,53341281,95,123,
鳥取地区,鳥取市北部,53341282,94,121,
鳥取地区,鳥取市北部,53341283,95,123,
鳥取地区,鳥取市北部,53341284,90,116,
鳥取地区,鳥取市北部,53341285,91,117,
鳥取地区,鳥取市北部,53341289,102,131,
鳥取地区,鳥取市北部,53341290,100,129,
鳥取地区,鳥取市北部,53341291,104,134,
鳥取地区,鳥取市北部,53341292,108,139,
鳥取地区,鳥取市北部,53341293,109,140,
鳥取地区,鳥取市北部,53341294,109,140,
鳥取地区,鳥取市北部,53341295,109,140,
鳥取地区,鳥取市北部,53341320,112,144,
鳥取地区,鳥取市北部,53341323,108,139,
鳥取地区,鳥取市北部,53341324,103,133,
鳥取地区,鳥取市北部,53341330,112,144,
鳥取地区,鳥取市北部,53341331,115,148,
鳥取地区,鳥取市北部,53341332,116,149,
鳥取地区,鳥取市北部,53341333,104,134,
鳥取地区,鳥取市北部,53341334,105,135,
鳥取地区,鳥取市北部,53341340,109,141,
鳥取地区,鳥取市北部,53341341,112,144,
鳥取地区,鳥取市北部,53341342,113,146,
鳥取地区,鳥取市北部,53341343,105,135,
鳥取地区,鳥取市北部,53341344,105,135,
鳥取地区,鳥取市北部,53341350,94,121,
鳥取地区,鳥取市北部,53341351,95,123,
鳥取地区,鳥取市北部,53341352,98,126,
鳥取地区,鳥取市北部,53341353,100,129,
鳥取地区,鳥取市北部,53341354,101,130,
鳥取地区,鳥取市北部,53341360,93,120,
鳥取地区,鳥取市北部,53341361,95,123,
鳥取地区,鳥取市北部,53341362,102,132,
鳥取地区,鳥取市北部,53341363,104,134,
鳥取地区,鳥取市北部,53341364,104,134,
鳥取地区,鳥取市北部,53341370,93,120,
鳥取地区,鳥取市北部,53341371,99,128,
鳥取地区,鳥取市北部,53341372,102,131,
鳥取地区,鳥取市北部,53341373,107,138,
鳥取地区,鳥取市北部,53341380,102,131,
鳥取地区,鳥取市北部,53341381,99,127,
鳥取地区,鳥取市北部,53341382,105,135,
鳥取地区,鳥取市北部,53341383,101,130,
鳥取地区,鳥取市北部,53341390,102,131,
鳥取地区,鳥取市北部,53341391,99,127,
鳥取地区,鳥取市北部,53342000,107,138,
鳥取地区,鳥取市北部,53342001,102,131,
鳥取地区,鳥取市北部,53342002,106,137,
鳥取地区,鳥取市北部,53342003,106,137,
鳥取地区,鳥取市北部,53342004,106,136,
鳥取地区,鳥取市北部,53342005,101,130,
鳥取地区,鳥取市北部,53342006,99,128,
鳥取地区,鳥取市北部,53342007,99,128,
鳥取地区,鳥取市北部,53342008,100,129,
鳥取地区,鳥取市北部,53342009,99,128,
鳥取地区,鳥取市北部,53342010,108,139,
鳥取地区,鳥取市北部,53342011,102,131,
鳥取地区,鳥取市北部,53342012,106,136,
鳥取地区,鳥取市北部,53342013,106,137,
鳥取地区,鳥取市北部,53342014,106,136,
鳥取地区,鳥取市北部,53342015,101,130,
鳥取地区,鳥取市北部,53342016,99,128,
鳥取地区,鳥取市北部,53342017,94,121,
鳥取地区,鳥取市北部,53342018,94,121,
鳥取地区,鳥取市北部,53342019,94,121,
鳥取地区,鳥取市北部,53342020,107,138,
鳥取地区,鳥取市北部,53342021,106,137,
鳥取地区,鳥取市北部,53342022,106,136,
鳥取地区,鳥取市北部,53342023,106,－,
鳥取地区,鳥取市北部,53342024,106,136,
鳥取地区,鳥取市北部,53342025,100,129,
鳥取地区,鳥取市北部,53342026,99,128,
鳥取地区,鳥取市北部,53342027,94,121,
鳥取地区,鳥取市北部,53342028,93,120,
鳥取地区,鳥取市北部,53342029,93,120,
鳥取地区,鳥取市北部,53342030,106,137,
鳥取地区,鳥取市北部,53342031,106,136,
鳥取地区,鳥取市北部,53342036,140,180,
鳥取地区,鳥取市北部,53342037,127,164,
鳥取地区,鳥取市北部,53342038,93,120,
鳥取地区,鳥取市北部,53342039,93,120,
鳥取地区,鳥取市北部,53342040,100,129,
鳥取地区,鳥取市北部,53342100,99,127,
鳥取地区,鳥取市北部,53342101,99,－,
鳥取地区,鳥取市北部,53342102,99,－,
鳥取地区,鳥取市北部,53342103,88,113,
鳥取地区,鳥取市北部,53342104,88,113,
鳥取地区,鳥取市北部,53342105,93,120,
鳥取地区,鳥取市北部,53342106,95,122,
鳥取地区,鳥取市北部,53342107,100,－,
鳥取地区,鳥取市北部,53342108,95,123,
鳥取地区,鳥取市北部,53342109,100,129,
鳥取地区,鳥取市北部,53342110,93,120,
鳥取地区,鳥取市北部,53342111,93,120,
鳥取地区,鳥取市北部,53342113,88,113,
鳥取地区,鳥取市北部,53342114,88,113,
鳥取地区,鳥取市北部,53342115,93,120,
鳥取地区,鳥取市北部,53342116,100,－,
鳥取地区,鳥取市北部,53342117,100,－,
鳥取地区,鳥取市北部,53342118,99,128,
鳥取地区,鳥取市北部,53342119,100,129,
鳥取地区,鳥取市北部,53342120,93,120,
鳥取地区,鳥取市北部,53342121,93,120,
鳥取地区,鳥取市北部,53342122,100,－,
鳥取地区,鳥取市北部,53342123,89,115,
鳥取地区,鳥取市北部,53342124,100,－,
鳥取地区,鳥取市北部,53342125,100,－,
鳥取地区,鳥取市北部,53342126,100,－,
鳥取地区,鳥取市北部,53342127,95,123,
鳥取地区,鳥取市北部,53342128,99,128,
