（別添）大雨警報・注意報の土壌雨量指数基準値,,,,令和6年5月23日現在,
市町村等をまとめた地域,市町村等,地域メッシュコード（１km格子対応）,土壌雨量指数基準（注意報）,土壌雨量指数基準（警報）,
広島・呉,広島市安佐北区,51326580,85,115,
広島・呉,広島市安佐北区,51326581,85,115,
広島・呉,広島市安佐北区,51326582,85,115,
広島・呉,広島市安佐北区,51326583,85,115,
広島・呉,広島市安佐北区,51326584,84,114,
広島・呉,広島市安佐北区,51326590,85,115,
広島・呉,広島市安佐北区,51326591,85,115,
広島・呉,広島市安佐北区,51326592,85,115,
広島・呉,広島市安佐北区,51326593,84,114,
広島・呉,広島市安佐北区,51326594,83,113,
広島・呉,広島市安佐北区,51327301,87,118,
広島・呉,広島市安佐北区,51327302,87,118,
広島・呉,広島市安佐北区,51327303,87,118,
広島・呉,広島市安佐北区,51327304,87,118,
広島・呉,広島市安佐北区,51327305,88,120,
広島・呉,広島市安佐北区,51327306,89,121,
広島・呉,広島市安佐北区,51327307,90,122,
広島・呉,広島市安佐北区,51327308,89,121,
広島・呉,広島市安佐北区,51327309,88,120,
広島・呉,広島市安佐北区,51327311,87,118,
広島・呉,広島市安佐北区,51327312,86,117,
広島・呉,広島市安佐北区,51327313,86,117,
広島・呉,広島市安佐北区,51327314,87,118,
広島・呉,広島市安佐北区,51327316,88,120,
広島・呉,広島市安佐北区,51327317,88,120,
広島・呉,広島市安佐北区,51327318,89,121,
広島・呉,広島市安佐北区,51327319,88,120,
広島・呉,広島市安佐北区,51327326,87,118,
広島・呉,広島市安佐北区,51327327,88,119,
広島・呉,広島市安佐北区,51327328,87,118,
広島・呉,広島市安佐北区,51327337,86,117,
広島・呉,広島市安佐北区,51327400,88,119,
広島・呉,広島市安佐北区,51327401,87,118,
広島・呉,広島市安佐北区,51327402,87,118,
広島・呉,広島市安佐北区,51327409,85,116,
広島・呉,広島市安佐北区,51327411,88,119,
広島・呉,広島市安佐北区,51327419,86,117,
広島・呉,広島市安佐北区,51327421,88,120,
広島・呉,広島市安佐北区,51327500,86,117,
広島・呉,広島市安佐北区,51327501,85,116,
広島・呉,広島市安佐北区,51327502,85,115,
広島・呉,広島市安佐北区,51327503,85,115,
広島・呉,広島市安佐北区,51327504,84,114,
広島・呉,広島市安佐北区,51327510,85,116,
広島・呉,広島市安佐北区,51327511,85,116,
広島・呉,広島市安佐北区,51327512,85,116,
広島・呉,広島市安佐北区,51327513,84,114,
広島・呉,広島市安佐北区,51327514,85,115,
広島・呉,広島市安佐北区,51327523,85,115,
広島・呉,広島市安芸区,51323483,88,120,
広島・呉,広島市安芸区,51323484,88,120,
